合约代码,最新价,开盘价,最高价,最低价,成交量,日期,数据源,更新时间
IC01,6815.487612,6801.8566367759995,6849.5650500599995,6781.41017394,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 15:14:16
IC03,6835.934074835999,6822.262206686327,6870.113745210178,6801.754404461819,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 15:14:16
IC06,6870.011512896,6856.271489870208,6904.361570460479,6835.661455331519,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 15:14:16
IC09,6904.088950955999,6890.280773054087,6938.609395710779,6869.568506201219,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 15:14:16
IF01,4209.565878,4201.1467462440005,4230.61370739,4188.518048610001,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 15:14:16
IF03,4222.194575634,4213.750186482732,4243.3055485121695,4201.08360275583,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 15:14:16
IF06,4243.242405024001,4234.755920213953,4264.45861704912,4222.026192998881,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 15:14:16
IF09,4264.290234414,4255.761653945172,4285.61168558607,4242.96878324193,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 15:14:16
IH01,3407.743806,3400.9283183879998,3424.7825250299998,3390.70508697,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 15:14:16
IH03,3417.9670374179996,3411.1311033431634,3435.056872605089,3400.8772022309095,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 15:14:16
IH06,3435.005756448,3428.135744935104,3452.1807852302395,3417.8307276657597,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 15:14:16
IH09,3452.0444754779996,3445.1403865270436,3469.3046978553893,3434.7842531006095,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 15:14:16
