合约代码,最新价,开盘价,最高价,最低价,成交量,日期,数据源,更新时间
IC01,6815.487612,6801.8566367759995,6849.5650500599995,6781.41017394,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 12:00:55
IC03,6815.487612,6801.8566367759995,6849.5650500599995,6781.41017394,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 12:00:55
IC06,6815.487612,6801.8566367759995,6849.5650500599995,6781.41017394,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 12:00:55
IC09,6815.487612,6801.8566367759995,6849.5650500599995,6781.41017394,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 12:00:55
IF01,4209.565878,4201.1467462440005,4230.61370739,4188.518048610001,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 12:00:55
IF03,4209.565878,4201.1467462440005,4230.61370739,4188.518048610001,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 12:00:55
IF06,4209.565878,4201.1467462440005,4230.61370739,4188.518048610001,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 12:00:55
IF09,4209.565878,4201.1467462440005,4230.61370739,4188.518048610001,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 12:00:55
IH01,3407.743806,3400.9283183879998,3424.7825250299998,3390.70508697,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 12:00:55
IH03,3407.743806,3400.9283183879998,3424.7825250299998,3390.70508697,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 12:00:55
IH06,3407.743806,3400.9283183879998,3424.7825250299998,3390.70508697,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 12:00:55
IH09,3407.743806,3400.9283183879998,3424.7825250299998,3390.70508697,50000.0,2026-05-12,外盘估算 (SPY),2026-05-12 12:00:55
