合约代码,最新价,开盘价,最高价,最低价,成交量,日期,数据源,更新时间
IC01,6795.2166352,6781.6262019296,6829.192718376,6761.240552024,50000.0,2026-05-19,外盘估算 (SPY),2026-05-19 19:07:25
IC03,6815.6022851056,6801.971080535388,6849.680296531127,6781.524273680072,50000.0,2026-05-19,外盘估算 (SPY),2026-05-19 19:07:25
IC06,6849.578368281601,6835.879211545038,6883.826260123008,6815.330476440193,50000.0,2026-05-19,外盘估算 (SPY),2026-05-19 19:07:25
IC09,6883.5544514575995,6869.787342554684,6917.972223714887,6849.136679200312,50000.0,2026-05-19,外盘估算 (SPY),2026-05-19 19:07:25
IF01,4197.0455688,4188.6514776624,4218.030796644,4176.060340956,50000.0,2026-05-19,外盘估算 (SPY),2026-05-19 19:07:25
IF03,4209.6367055064,4201.217432095387,4230.6848890339315,4188.588521978868,50000.0,2026-05-19,外盘估算 (SPY),2026-05-19 19:07:25
IF06,4230.6219333504005,4222.1606894837,4251.775043017152,4209.468823683648,50000.0,2026-05-19,外盘估算 (SPY),2026-05-19 19:07:25
IF09,4251.6071611944,4243.103946872011,4272.865197000371,4230.349125388428,50000.0,2026-05-19,外盘估算 (SPY),2026-05-19 19:07:25
IH01,3397.6083176,3390.8131009648,3414.596359188,3380.620276012,50000.0,2026-05-19,外盘估算 (SPY),2026-05-19 19:07:25
IH03,3407.8011425528,3400.985540267694,3424.8401482655636,3390.762136840036,50000.0,2026-05-19,外盘估算 (SPY),2026-05-19 19:07:25
IH06,3424.7891841408004,3417.939605772519,3441.913130061504,3407.6652382200964,50000.0,2026-05-19,外盘估算 (SPY),2026-05-19 19:07:25
IH09,3441.7772257287997,3434.893671277342,3458.9861118574436,3424.568339600156,50000.0,2026-05-19,外盘估算 (SPY),2026-05-19 19:07:25
