合约代码,最新价,开盘价,最高价,最低价,成交量,日期,数据源,更新时间
IC01,6798.8222128,6785.2245683743995,6832.816323863999,6764.828101736,50000.0,2026-05-28,外盘估算 (SPY),2026-05-28 09:37:18
IC03,6819.218679438399,6805.580242079522,6853.31477283559,6785.122586041207,50000.0,2026-05-28,外盘估算 (SPY),2026-05-28 09:37:18
IC06,6853.2127905024,6839.506364921395,6887.478854454911,6818.946726549888,50000.0,2026-05-28,外盘估算 (SPY),2026-05-28 09:37:18
IC09,6887.206901566399,6873.432487763266,6921.64293607423,6852.770867058567,50000.0,2026-05-28,外盘估算 (SPY),2026-05-28 09:37:18
IF01,4199.2725432,4190.8739981136,4220.268905915999,4178.276180484,50000.0,2026-05-28,外盘估算 (SPY),2026-05-28 09:37:18
IF03,4211.870360829599,4203.44662010794,4232.929712633747,4190.811009025451,50000.0,2026-05-28,外盘估算 (SPY),2026-05-28 09:37:18
IF06,4232.8667235456,4224.400990098508,4254.031057163327,4211.702389927872,50000.0,2026-05-28,外盘估算 (SPY),2026-05-28 09:37:18
IF09,4253.863086261599,4245.355360089076,4275.132401692907,4232.593770830291,50000.0,2026-05-28,外盘估算 (SPY),2026-05-28 09:37:18
IH01,3399.4111064,3392.6122841871997,3416.4081619319995,3382.414050868,50000.0,2026-05-28,外盘估算 (SPY),2026-05-28 09:37:18
IH03,3409.6093397191994,3402.790121039761,3426.657386417795,3392.5612930206034,50000.0,2026-05-28,外盘估算 (SPY),2026-05-28 09:37:18
IH06,3426.6063952512,3419.7531824606976,3443.7394272274555,3409.473363274944,50000.0,2026-05-28,外盘估算 (SPY),2026-05-28 09:37:18
IH09,3443.6034507831996,3436.716243881633,3460.821468037115,3426.3854335292835,50000.0,2026-05-28,外盘估算 (SPY),2026-05-28 09:37:18
