合约代码,最新价,开盘价,最高价,最低价,成交量,日期,数据源,更新时间
IC01,6718.2000800000005,6704.763679840001,6751.791080399999,6684.609079600001,50000.0,2026-05-17,外盘估算 (SPY),2026-05-17 14:10:51
IC03,6738.35468024,6724.87797087952,6772.046453641199,6704.662906838799,50000.0,2026-05-17,外盘估算 (SPY),2026-05-17 14:10:51
IC06,6771.94568064,6758.401789278721,6805.8054090432,6738.0859522368,50000.0,2026-05-17,外盘估算 (SPY),2026-05-17 14:10:51
IC09,6805.53668104,6791.92560767792,6839.564364445199,6771.5089976348,50000.0,2026-05-17,外盘估算 (SPY),2026-05-17 14:10:51
IF01,4149.47652,4141.17756696,4170.2239026,4128.729137400001,50000.0,2026-05-17,外盘估算 (SPY),2026-05-17 14:10:51
IF03,4161.92494956,4153.601099660879,4182.734574307799,4141.1153248122,50000.0,2026-05-17,外盘估算 (SPY),2026-05-17 14:10:51
IF06,4182.67233216,4174.30698749568,4203.5856938208,4161.758970499201,50000.0,2026-05-17,外盘估算 (SPY),2026-05-17 14:10:51
IF09,4203.41971476,4195.01287533048,4224.436813333799,4182.402616186199,50000.0,2026-05-17,外盘估算 (SPY),2026-05-17 14:10:51
IH01,3359.1000400000003,3352.3818399200004,3375.8955401999997,3342.3045398000004,50000.0,2026-05-17,外盘估算 (SPY),2026-05-17 14:10:51
IH03,3369.17734012,3362.43898543976,3386.0232268205996,3352.3314534193996,50000.0,2026-05-17,外盘估算 (SPY),2026-05-17 14:10:51
IH06,3385.97284032,3379.2008946393603,3402.9027045216,3369.0429761184,50000.0,2026-05-17,外盘估算 (SPY),2026-05-17 14:10:51
IH09,3402.76834052,3395.96280383896,3419.7821822225997,3385.7544988174,50000.0,2026-05-17,外盘估算 (SPY),2026-05-17 14:10:51
