合约代码,最新价,开盘价,最高价,最低价,成交量,日期,数据源,更新时间
IC01,6813.4850799999995,6799.858109839999,6847.552505399999,6779.4176546,50000.0,2026-05-22,外盘估算 (SPY),2026-05-22 10:19:38
IC03,6833.925535239999,6820.257684169519,6868.095162916198,6799.755907563798,50000.0,2026-05-22,外盘估算 (SPY),2026-05-22 10:19:38
IC06,6867.992960639999,6854.256974718719,6902.332925443198,6833.652995836799,50000.0,2026-05-22,外盘估算 (SPY),2026-05-22 10:19:38
IC09,6902.060386039999,6888.256265267919,6936.570687970198,6867.550084109799,50000.0,2026-05-22,外盘估算 (SPY),2026-05-22 10:19:38
IF01,4208.329019999999,4199.9123619599995,4229.370665099998,4187.287374899999,50000.0,2026-05-22,外盘估算 (SPY),2026-05-22 10:19:38
IF03,4220.954007059999,4212.512099045879,4242.058777095298,4199.849237024699,50000.0,2026-05-22,外盘估算 (SPY),2026-05-22 10:19:38
IF06,4241.995652159999,4233.511660855679,4263.205630420798,4220.785673899199,50000.0,2026-05-22,外盘估算 (SPY),2026-05-22 10:19:38
IF09,4263.037297259999,4254.511222665479,4284.352483746298,4241.722110773699,50000.0,2026-05-22,外盘估算 (SPY),2026-05-22 10:19:38
IH01,3406.7425399999997,3399.9290549199995,3423.7762526999995,3389.7088273,50000.0,2026-05-22,外盘估算 (SPY),2026-05-22 10:19:38
IH03,3416.9627676199993,3410.1288420847595,3434.047581458099,3399.877953781899,50000.0,2026-05-22,外盘估算 (SPY),2026-05-22 10:19:38
IH06,3433.9964803199996,3427.1284873593595,3451.166462721599,3416.8264979183996,50000.0,2026-05-22,外盘估算 (SPY),2026-05-22 10:19:38
IH09,3451.0301930199994,3444.1281326339595,3468.285343985099,3433.7750420548996,50000.0,2026-05-22,外盘估算 (SPY),2026-05-22 10:19:38
