合约代码,最新价,开盘价,最高价,最低价,成交量,日期,数据源,更新时间
IC01,6754.706152,6741.196739696,6788.479682759999,6720.93262124,50000.0,2026-05-20,外盘估算 (SPY),2026-05-20 09:39:41
IC03,6774.970270455999,6761.420329915087,6808.845121808278,6741.095419103719,50000.0,2026-05-20,外盘估算 (SPY),2026-05-20 09:39:41
IC06,6808.743801216,6795.126313613568,6842.787520222079,6774.70008220992,50000.0,2026-05-20,外盘估算 (SPY),2026-05-20 09:39:41
IC09,6842.517331975999,6828.832297312047,6876.729918635878,6808.304745316119,50000.0,2026-05-20,外盘估算 (SPY),2026-05-20 09:39:41
IF01,4172.024388,4163.680339224,4192.88450994,4151.16426606,50000.0,2026-05-20,外盘估算 (SPY),2026-05-20 09:39:41
IF03,4184.540461164,4176.171380241672,4205.463163469819,4163.6177588581795,50000.0,2026-05-20,外盘估算 (SPY),2026-05-20 09:39:41
IF06,4205.400583103999,4196.989781937791,4226.427586019519,4184.3735801884795,50000.0,2026-05-20,外盘估算 (SPY),2026-05-20 09:39:41
IF09,4226.260705043999,4217.8081836339115,4247.392008569219,4205.12940151878,50000.0,2026-05-20,外盘估算 (SPY),2026-05-20 09:39:41
IH01,3377.353076,3370.598369848,3394.2398413799997,3360.46631062,50000.0,2026-05-20,外盘估算 (SPY),2026-05-20 09:39:41
IH03,3387.4851352279993,3380.7101649575434,3404.422560904139,3370.5477095518595,50000.0,2026-05-20,外盘估算 (SPY),2026-05-20 09:39:41
IH06,3404.371900608,3397.563156806784,3421.3937601110397,3387.35004110496,50000.0,2026-05-20,外盘估算 (SPY),2026-05-20 09:39:41
IH09,3421.2586659879994,3414.4161486560233,3438.364959317939,3404.1523726580594,50000.0,2026-05-20,外盘估算 (SPY),2026-05-20 09:39:41
