合约代码,最新价,开盘价,最高价,最低价,成交量,日期,数据源,更新时间
IC01,6771.5327996,6757.989734000799,6805.390463597999,6737.6751356019995,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 03:04:15
IC03,6791.847397998799,6778.2637032028015,6825.806634988792,6757.888161008806,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 03:04:15
IC06,6825.7050619967995,6812.053651872806,6859.833587306783,6791.576536686815,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 03:04:15
IC09,6859.562725994799,6845.843600542809,6893.860539624772,6825.264912364824,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 03:04:15
IF01,4182.4173174,4174.0524827652,4203.329403987,4161.505230813,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 03:04:15
IF03,4194.9645693522,4186.5746402134955,4215.93939219896,4173.989746505439,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 03:04:15
IF06,4215.8766559392,4207.444902627321,4236.956039218895,4194.7972726595035,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 03:04:15
IF09,4236.7887425262,4228.315165041147,4257.972686238831,4215.604798813569,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 03:04:15
IH01,3385.7663998,3378.9948670003996,3402.6952317989994,3368.8375678009998,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 03:04:15
IH03,3395.9236989993997,3389.1318516014007,3412.903317494396,3378.944080504403,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 03:04:15
IH06,3412.8525309983997,3406.026825936403,3429.9167936533913,3395.7882683434077,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 03:04:15
IH09,3429.7813629973994,3422.9218002714047,3446.930269812386,3412.632456182412,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 03:04:15
