合约代码,最新价,开盘价,最高价,最低价,成交量,日期,数据源,更新时间
IC01,6789.698408,6776.119011184001,6823.646900039999,6755.74991596,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 19:46:04
IC03,6810.067503224,6796.447368217551,6844.117840740119,6776.01716570788,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 19:46:04
IC06,6844.015995264001,6830.327963273473,6878.23607524032,6809.79591528768,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 19:46:04
IC09,6877.964487304,6864.208558329392,6912.354309740519,6843.574664867479,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 19:46:04
IF01,4193.637252,4185.249977496001,4214.60543826,4172.66906574,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 19:46:04
IF03,4206.218163756,4197.805727428487,4227.249254574779,4185.187072937219,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 19:46:04
IF06,4227.186350016001,4218.731977315969,4248.32228176608,4206.050418265921,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 19:46:04
IF09,4248.154536276,4239.6582272034475,4269.39530895738,4226.91376359462,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 19:46:04
IH01,3394.849204,3388.0595055920003,3411.8234500199997,3377.87495798,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 19:46:04
IH03,3405.033751612,3398.2236841087756,3422.0589203700597,3388.00858285394,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 19:46:04
IH06,3422.0079976320003,3415.1639816367365,3439.11803762016,3404.89795764384,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 19:46:04
IH09,3438.982243652,3432.104279164696,3456.1771548702595,3421.7873324337397,50000.0,2026-05-13,外盘估算 (SPY),2026-05-13 19:46:04
