合约代码,最新价,开盘价,最高价,最低价,成交量,日期,数据源,更新时间
IC01,6869.6932,6855.9538136,6904.041665999999,6835.344733999999,50000.0,2026-05-21,外盘估算 (SPY),2026-05-21 09:43:59
IC03,6890.302279599999,6876.521675040799,6924.753790997998,6855.850768201999,50000.0,2026-05-21,外盘估算 (SPY),2026-05-21 09:43:59
IC06,6924.6507456,6910.8014441088,6959.273999327999,6890.027491872,50000.0,2026-05-21,外盘估算 (SPY),2026-05-21 09:43:59
IC09,6958.999211599999,6945.0812131768,6993.794207657998,6924.2042155419995,50000.0,2026-05-21,外盘估算 (SPY),2026-05-21 09:43:59
IF01,4243.0458,4234.5597084,4264.261028999999,4221.8305709999995,50000.0,2026-05-21,外盘估算 (SPY),2026-05-21 09:43:59
IF03,4255.7749373999995,4247.2633875251995,4277.053812086999,4234.496062712999,50000.0,2026-05-21,外盘估算 (SPY),2026-05-21 09:43:59
IF06,4276.9901664,4268.4361860672,4298.375117232,4255.605215568,50000.0,2026-05-21,外盘估算 (SPY),2026-05-21 09:43:59
IF09,4298.205395399999,4289.608984609199,4319.696422376999,4276.7143684229995,50000.0,2026-05-21,外盘估算 (SPY),2026-05-21 09:43:59
IH01,3434.8466,3427.9769068,3452.0208329999996,3417.6723669999997,50000.0,2026-05-21,外盘估算 (SPY),2026-05-21 09:43:59
IH03,3445.1511397999993,3438.2608375203995,3462.376895498999,3427.9253841009995,50000.0,2026-05-21,外盘估算 (SPY),2026-05-21 09:43:59
IH06,3462.3253728,3455.4007220544,3479.6369996639996,3445.013745936,50000.0,2026-05-21,外盘估算 (SPY),2026-05-21 09:43:59
IH09,3479.4996057999997,3472.5406065884,3496.897103828999,3462.1021077709997,50000.0,2026-05-21,外盘估算 (SPY),2026-05-21 09:43:59
