合约代码,最新价,开盘价,最高价,最低价,成交量,日期,数据源,更新时间
IC01,6826.7345399999995,6813.08107092,6860.868212699998,6792.6008673,50000.0,2026-05-23,外盘估算 (SPY),2026-05-23 09:37:42
IC03,6847.214743619998,6833.520314132758,6881.450817338097,6812.978669901899,50000.0,2026-05-23,外盘估算 (SPY),2026-05-23 09:37:42
IC06,6881.348416319999,6867.585719487359,6915.755158401598,6846.941674238399,50000.0,2026-05-23,外盘估算 (SPY),2026-05-23 09:37:42
IC09,6915.482089019999,6901.651124841959,6950.059499465098,6880.904678574899,50000.0,2026-05-23,外盘估算 (SPY),2026-05-23 09:37:42
IF01,4216.51251,4208.0794849799995,4237.595072549999,4195.429947449999,50000.0,2026-05-23,外盘估算 (SPY),2026-05-23 09:37:42
IF03,4229.162047529999,4220.703723434939,4250.307857767648,4208.016237292349,50000.0,2026-05-23,外盘估算 (SPY),2026-05-23 09:37:42
IF06,4250.24461008,4241.74412085984,4271.4958331304,4228.9933870296,50000.0,2026-05-23,外盘估算 (SPY),2026-05-23 09:37:42
IF09,4271.327172629999,4262.784518284739,4292.683808493149,4249.970536766849,50000.0,2026-05-23,外盘估算 (SPY),2026-05-23 09:37:42
IH01,3413.3672699999997,3406.54053546,3430.434106349999,3396.30043365,50000.0,2026-05-23,外盘估算 (SPY),2026-05-23 09:37:42
IH03,3423.607371809999,3416.760157066379,3440.7254086690486,3406.4893349509493,50000.0,2026-05-23,外盘估算 (SPY),2026-05-23 09:37:42
IH06,3440.6742081599996,3433.7928597436794,3457.877579200799,3423.4708371191996,50000.0,2026-05-23,外盘估算 (SPY),2026-05-23 09:37:42
IH09,3457.7410445099995,3450.8255624209796,3475.029749732549,3440.4523392874494,50000.0,2026-05-23,外盘估算 (SPY),2026-05-23 09:37:42
