合约代码,最新价,开盘价,最高价,最低价,成交量,日期,数据源,更新时间
IC01,6845.142548,6831.452262904,6879.368260739999,6810.91683526,50000.0,2026-05-27,外盘估算 (SPY),2026-05-27 09:38:12
IC03,6865.677975643999,6851.9466196927115,6900.006365522218,6831.349585765779,50000.0,2026-05-27,外盘估算 (SPY),2026-05-27 09:38:12
IC06,6899.903688384,6886.103881007232,6934.403206825919,6865.4041699420795,50000.0,2026-05-27,外盘估算 (SPY),2026-05-27 09:38:12
IC09,6934.129401123999,6920.26114232175,6968.8000481296185,6899.458754118379,50000.0,2026-05-27,外盘估算 (SPY),2026-05-27 09:38:12
IF01,4227.882162,4219.426397676,4249.021572809999,4206.74275119,50000.0,2026-05-27,外盘估算 (SPY),2026-05-27 09:38:12
IF03,4240.565808486,4232.084676869028,4261.768637528429,4219.36297944357,50000.0,2026-05-27,外盘估算 (SPY),2026-05-27 09:38:12
IF06,4261.705219296,4253.181808857408,4283.01374539248,4240.39669319952,50000.0,2026-05-27,外盘估算 (SPY),2026-05-27 09:38:12
IF09,4282.844630105999,4274.2789408457875,4304.258853256529,4261.430406955469,50000.0,2026-05-27,外盘估算 (SPY),2026-05-27 09:38:12
IH01,3422.571274,3415.726131452,3439.6841303699994,3405.45841763,50000.0,2026-05-27,外盘估算 (SPY),2026-05-27 09:38:12
IH03,3432.8389878219996,3425.9733098463557,3450.003182761109,3415.6747928828895,50000.0,2026-05-27,外盘估算 (SPY),2026-05-27 09:38:12
IH06,3449.951844192,3443.051940503616,3467.2016034129597,3432.7020849710398,50000.0,2026-05-27,外盘估算 (SPY),2026-05-27 09:38:12
IH09,3467.0647005619994,3460.130571160875,3484.4000240648093,3449.7293770591896,50000.0,2026-05-27,外盘估算 (SPY),2026-05-27 09:38:12
