date,open,close,high,low,volume,amount,amplitude,pct_change,price_change,turnover,etf_code,etf_name,crawl_time
2021-05-20,0.986,0.997,0.998,0.979,54209536,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-05-21,0.997,0.987,1.0,0.982,27131540,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-05-24,0.985,0.987,0.992,0.982,11959665,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-05-25,0.991,1.016,1.018,0.985,175405620,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-05-26,1.021,1.026,1.034,1.019,95599606,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-05-27,1.026,1.021,1.03,1.014,25620247,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-05-28,1.021,1.021,1.029,1.016,26483626,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-05-31,1.019,1.017,1.023,1.01,19696277,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-01,1.017,1.011,1.017,1.006,13292470,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-02,1.007,1.009,1.013,1.001,16256448,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-03,1.006,1.004,1.02,1.004,19459644,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-04,1.005,1.019,1.027,1.005,25296652,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-07,1.018,1.012,1.018,1.007,5394037,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-08,1.011,1.011,1.018,1.004,7540679,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-09,1.013,1.009,1.014,1.005,6380160,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-10,1.008,1.009,1.017,1.007,10178986,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-11,1.009,0.992,1.009,0.992,17616994,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-15,0.994,0.984,0.994,0.979,10742134,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-16,0.981,0.989,0.992,0.981,17768506,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-17,0.989,0.984,0.991,0.983,9121781,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-18,0.984,0.975,0.985,0.971,15324064,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-21,0.976,0.966,0.976,0.962,17673812,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-22,0.967,0.978,0.98,0.967,14852411,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-23,0.978,0.976,0.98,0.973,11791528,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-24,0.978,0.981,0.981,0.973,12363128,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
2021-06-25,0.982,0.992,0.993,0.98,16454389,0.0,0.0,0.0,0.0,0.0,159887,银行ETF,2025-08-30 18:26:17
